id,species,n.counted,n.measured,n.total
48207,2,715,304,1019
48206,2,0,253,253
48203,2,1400,387,1787
48204,2,0,183,183
48202,2,0,104,104
48495,2,0,232,232
48493,2,0,41,41
48491,2,0,91,91
48489,2,0,1,1
48486,2,0,13,13
48487,2,0,199,199
48484,2,0,264,264
48055,2,0,63,63
48052,2,158,90,248
48050,2,0,61,61
48051,2,0,175,175
48483,2,0,14,14
48481,2,0,21,21
48048,2,89,89,178
48470,2,0,1,1
48468,2,369,218,587
48465,2,8183,217,8400
48463,2,1616,269,1885
48461,2,4938,256,5194
47969,2,0,7,7
48459,2,486,229,715
48458,2,0,4,4
48455,2,0,96,96
48456,2,0,98,98
48454,2,0,2,2
48452,2,0,26,26
48449,2,0,30,30
48450,2,0,153,153
47901,2,0,853,853
47902,2,0,124,124
47899,2,162,120,282
47900,2,0,17,17
47897,2,0,112,112
48448,2,0,2,2
48444,2,0,11,11
48442,2,46,88,134
48440,2,0,45,45
48438,2,0,171,171
48439,2,238,191,429
47892,2,0,133,133
47891,2,390,268,658
47887,2,0,302,302
48436,2,0,55,55
48434,2,0,9,9
48432,2,0,47,47
48429,2,0,76,76
47888,2,424,175,599
47944,2,738,133,871
47942,2,0,479,479
47937,2,160,148,308
47936,2,2084,352,2436
47970,2,0,10,10
47966,2,0,428,428
47968,2,0,3,3
47964,2,0,55,55
47965,2,0,27,27
47960,2,0,125,125
47961,2,0,110,110
47958,2,0,36,36
47959,2,0,47,47
47935,2,2335,439,2774
47933,2,0,70,70
47906,2,0,63,63
47907,2,775,90,865
47905,2,0,267,267
47904,2,412,407,819
48682,2,0,34,34
47952,2,0,175,175
47953,2,0,195,195
47950,2,0,6,6
47949,2,57,64,121
47947,2,0,123,123
47948,2,0,179,179
47877,2,115,15,130
47876,2,0,334,334
47873,2,0,29,29
47871,2,0,25,25
47870,2,0,10,10
47869,2,0,46,46
47886,2,0,469,469
47885,2,0,72,72
47883,2,0,58,58
47882,2,0,49,49
47880,2,0,12,12
47881,2,0,13,13
47867,2,0,22,22
47868,2,0,4,4
47866,2,0,48,48
47864,2,0,22,22
47863,2,0,20,20
48665,2,0,27,27
48666,2,0,125,125
48663,2,171,139,310
48664,2,0,181,181
48662,2,0,26,26
48108,2,0,61,61
48106,2,0,410,410
47857,2,0,10,10
47854,2,0,83,83
47855,2,0,3,3
47853,2,0,69,69
47852,2,0,58,58
47851,2,0,259,259
48400,2,0,4,4
48397,2,0,159,159
48102,2,0,318,318
48103,2,5800,505,6305
48101,2,599,269,868
48098,2,0,171,171
48099,2,0,67,67
47850,2,0,104,104
47847,2,0,313,313
47846,2,673,247,920
47845,2,0,221,221
47842,2,0,5045,5045
47841,2,0,132,132
48394,2,0,190,190
48656,2,0,1,1
48655,2,0,196,196
48652,2,0,2,2
48649,2,0,4,4
48650,2,0,5,5
48648,2,0,2,2
48645,2,55,144,199
48089,2,0,22,22
48087,2,0,2,2
48084,2,0,7,7
47840,2,0,48,48
47838,2,0,16,16
47837,2,0,4,4
47835,2,0,20,20
47833,2,0,6,6
47834,2,0,56,56
48644,2,0,181,181
48642,2,0,51,51
48641,2,0,67,67
48640,2,0,82,82
48637,2,0,1,1
48635,2,0,3,3
48634,2,0,8,8
48632,2,0,81,81
48222,2,0,38,38
48220,2,0,102,102
48219,2,0,280,280
48218,2,0,122,122
48633,2,0,6,6
48069,2,0,1,1
48066,2,0,3,3
48067,2,0,1,1
48215,2,0,88,88
48216,2,0,117,117
48214,2,0,7,7
48212,2,0,6,6
48210,2,0,37,37
48209,2,0,76,76
48208,2,0,473,473
48225,2,0,24,24
48224,2,0,38,38
47829,2,0,20,20
47826,2,0,13,13
47827,2,0,16,16
47825,2,0,87,87
50210,2,7408,205,7613
50211,2,0,34,34
50212,2,67,124,191
50215,2,0,12,12
50216,2,0,2,2
50217,2,0,1,1
50218,2,0,2,2
47821,2,0,396,396
47820,2,1815,242,2057
47819,2,1103,245,1348
47816,2,18,12,30
47813,2,792,197,989
50230,2,0,1,1
50237,2,0,3,3
50247,2,729,282,1011
50253,2,0,76,76
50254,2,6486,127,6613
50255,2,351,167,518
50256,2,912,197,1109
50257,2,2029,239,2268
50260,2,698,280,978
50261,2,0,225,225
50262,2,410,148,558
50263,2,3658,332,3990
50264,2,0,10,10
50269,2,0,205,205
50267,2,0,10,10
50270,2,0,117,117
50271,2,1273,299,1572
50274,2,949,83,1032
50275,2,0,156,156
50277,2,0,336,336
50278,2,195,232,427
50281,2,196,177,373
50282,2,0,13,13
50284,2,837,247,1084
50289,2,500,248,748
50291,2,0,175,175
50292,2,0,10,10
50293,2,0,81,81
50295,2,0,84,84
50330,2,282,106,388
50350,2,0,2,2
50353,2,0,169,169
50354,2,0,143,143
50357,2,732,257,989
50359,2,0,71,71
50361,2,6352,215,6567
50365,2,0,94,94
50366,2,0,210,210
50368,2,99,373,472
50372,2,290,290,580
50376,2,0,148,148
50313,2,0,1,1
50314,2,0,1,1
50323,2,0,2,2
50324,2,0,20,20
50576,2,0,61,61
50577,2,0,243,243
50579,2,0,19,19
50580,2,0,191,191
50583,2,0,351,351
50430,2,476,186,662
50431,2,0,2,2
50591,2,0,8,8
50592,2,0,23,23
50593,2,0,123,123
50594,2,0,39,39
50596,2,0,50,50
50597,2,0,14,14
48428,2,0,67,67
48426,2,0,14,14
48423,2,0,226,226
48424,2,0,49,49
48425,2,0,849,849
48421,2,0,17,17
48420,2,0,20,20
48418,2,0,83,83
48415,2,0,157,157
47812,2,707,202,909
47810,2,0,81,81
47811,2,0,385,385
47809,2,0,9,9
48417,2,0,59,59
48414,2,0,76,76
48413,2,0,194,194
48411,2,0,140,140
48410,2,0,17,17
48408,2,0,15,15
48409,2,0,7,7
48407,2,0,4,4
48405,2,0,30,30
48406,2,0,40,40
48404,2,0,49,49
48384,2,0,2,2
48383,2,0,26,26
48381,2,0,252,252
48378,2,0,18,18
48376,2,0,182,182
48377,2,0,19,19
48375,2,0,599,599
50303,2,0,4,4
50304,2,0,1,1
50305,2,0,209,209
50306,2,143,166,309
48678,2,0,297,297
48676,2,0,224,224
48675,2,0,63,63
48672,2,0,352,352
48673,2,0,233,233
48671,2,0,47,47
50310,2,0,50,50
48390,2,0,18,18
48388,2,0,157,157
48389,2,0,13,13
48385,2,0,61,61
48293,2,0,179,179
48287,2,0,18,18
48282,2,0,8,8
48281,2,0,72,72
48280,2,0,49,49
48279,2,0,13,13
48278,2,0,62,62
48276,2,0,6,6
48300,2,0,22,22
48301,2,659,310,969
48298,2,0,43,43
48299,2,0,103,103
48297,2,0,518,518
48296,2,235,166,401
48266,2,0,11,11
48264,2,0,52,52
48260,2,0,134,134
48259,2,0,46,46
48257,2,0,27,27
48253,2,0,27,27
48249,2,547,241,788
48250,2,0,1,1
50586,2,0,1,1
48246,2,0,1,1
48247,2,0,188,188
48243,2,0,215,215
48244,2,0,3,3
48242,2,0,6,6
48226,2,0,110,110
50560,2,0,352,352
50400,2,477,259,736
50402,2,0,276,276
50403,2,126,241,367
50405,2,0,24,24
50735,2,9206,557,9763
50736,2,0,129,129
50737,2,8976,200,9176
50738,2,0,24,24
50739,2,0,37,37
50825,2,0,26,26
44155,2,0,211,211
48175,2,0,32,32
48174,2,400,367,767
48171,2,0,2,2
48173,2,680,335,1015
50856,2,0,395,395
50857,2,0,241,241
50858,2,0,241,241
50567,2,0,19,19
50569,2,0,41,41
50571,2,0,6,6
50827,2,0,36,36
50828,2,0,22,22
50829,2,0,16,16
50740,2,796,246,1042
50741,2,331,175,506
50743,2,0,76,76
48168,2,505,222,727
48164,2,0,53,53
44158,2,0,141,141
44159,2,0,124,124
44160,2,0,321,321
48201,2,0,164,164
48197,2,0,261,261
